Community,Location,Frequency,Period
C68,CTA BUS STOP,10,Day
C57,BANK,7,Day
C70,BOWLING ALLEY,1,Day
C61,NURSING HOME/RETIREMENT HOME,9,Day
C1,CTA BUS STOP,3,Day
C50,RESIDENCE-GARAGE,17,Day
C64,RESIDENCE PORCH/HALLWAY,10,Day
C32,COMMERCIAL / BUSINESS OFFICE,207,Day
C55,VEHICLE NON-COMMERCIAL,3,Day
C71,ALLEY,97,Day
C68,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,13,Day
C61,"SCHOOL, PRIVATE, GROUNDS",4,Day
C19,CHA PARKING LOT/GROUNDS,1,Day
C63,MEDICAL/DENTAL OFFICE,1,Day
C22,BAR OR TAVERN,16,Day
C44,SIDEWALK,236,Day
C5,BANK,7,Day
C62,BAR OR TAVERN,1,Day
C24,RESIDENCE PORCH/HALLWAY,137,Day
C4,CONSTRUCTION SITE,1,Day
C76,AIRPORT/AIRCRAFT,39,Day
C20,DRIVEWAY - RESIDENTIAL,3,Day
C32,FEDERAL BUILDING,9,Day
C28,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,17,Day
C39,RESIDENCE-GARAGE,9,Day
C59,CTA TRAIN,8,Day
C11,GROCERY FOOD STORE,22,Day
C15,DAY CARE CENTER,3,Day
C11,OTHER RAILROAD PROP / TRAIN DEPOT,3,Day
C71,FIRE STATION,1,Day
C16,FACTORY/MANUFACTURING BUILDING,2,Day
C3,NURSING HOME/RETIREMENT HOME,35,Day
C59,RESIDENCE-GARAGE,21,Day
C65,OTHER RAILROAD PROP / TRAIN DEPOT,1,Day
C28,HOTEL/MOTEL,20,Day
C59,"SCHOOL, PRIVATE, BUILDING",2,Day
C68,HOTEL/MOTEL,1,Day
C49,VEHICLE NON-COMMERCIAL,81,Day
C5,POLICE FACILITY/VEH PARKING LOT,13,Day
C75,OTHER,54,Day
C5,MEDICAL/DENTAL OFFICE,4,Day
C6,PARKING LOT/GARAGE(NON.RESID.),99,Day
C40,DRIVEWAY - RESIDENTIAL,5,Day
C42,POOL ROOM,1,Day
C29,DRIVEWAY - RESIDENTIAL,4,Day
C14,"SCHOOL, PUBLIC, GROUNDS",19,Day
C3,TAXICAB,9,Day
C67,VACANT LOT/LAND,61,Day
C2,WAREHOUSE,1,Day
C68,"SCHOOL, PUBLIC, GROUNDS",33,Day
C44,CLEANING STORE,2,Day
C29,LIBRARY,5,Day
C35,APARTMENT,223,Day
C69,VEHICLE - OTHER RIDE SERVICE,1,Day
C7,GROCERY FOOD STORE,31,Day
C28,CTA BUS STOP,8,Day
C53,STREET,615,Day
C23,ABANDONED BUILDING,27,Day
C23,HOUSE,1,Day
C76,AIRPORT EXTERIOR - SECURE AREA,13,Day
C35,PARK PROPERTY,28,Day
C75,DAY CARE CENTER,5,Day
C35,CHA APARTMENT,41,Day
