Community,LocationDay,FrequencyDay
C1,APARTMENT,643
C1,STREET,546
C1,RESIDENCE,306
C1,SIDEWALK,209
C1,OTHER,151
C1,RESIDENCE PORCH/HALLWAY,127
C1,GROCERY FOOD STORE,84
C1,SMALL RETAIL STORE,81
C1,PARKING LOT/GARAGE(NON.RESID.),61
C1,ALLEY,60
C1,RESIDENTIAL YARD (FRONT/BACK),52
C1,CTA TRAIN,52
C1,RESTAURANT,45
C1,RESIDENCE-GARAGE,35
C1,CTA STATION,33
C1,NURSING HOME/RETIREMENT HOME,31
C1,PARK PROPERTY,30
C1,DRUG STORE,27
C1,CONVENIENCE STORE,25
C1,VEHICLE NON-COMMERCIAL,22
C1,DEPARTMENT STORE,20
C1,CTA GARAGE / OTHER PROPERTY,20
C1,"SCHOOL, PUBLIC, BUILDING",18
C1,CTA PLATFORM,17
C1,GAS STATION,14
C1,BANK,10
C1,"SCHOOL, PRIVATE, BUILDING",9
C1,COLLEGE/UNIVERSITY GROUNDS,8
C1,POLICE FACILITY/VEH PARKING LOT,7
C1,BAR OR TAVERN,6
C1,TAXICAB,6
C1,MEDICAL/DENTAL OFFICE,6
C1,"SCHOOL, PUBLIC, GROUNDS",6
C1,CURRENCY EXCHANGE,6
C1,CTA BUS,5
C1,APPLIANCE STORE,5
C1,"SCHOOL, PRIVATE, GROUNDS",5
C1,COMMERCIAL / BUSINESS OFFICE,4
C1,OTHER RAILROAD PROP / TRAIN DEPOT,4
C1,BARBERSHOP,3
C1,VEHICLE-COMMERCIAL,3
C1,SPORTS ARENA/STADIUM,3
C1,CTA BUS STOP,3
C1,MOVIE HOUSE/THEATER,3
C1,CHA APARTMENT,3
C1,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,3
C1,DRIVEWAY - RESIDENTIAL,3
C1,ATM (AUTOMATIC TELLER MACHINE),3
C1,TAVERN/LIQUOR STORE,2
C1,COLLEGE/UNIVERSITY RESIDENCE HALL,2
C1,PAWN SHOP,2
C1,OTHER COMMERCIAL TRANSPORTATION,2
C1,LAKEFRONT/WATERFRONT/RIVERBANK,2
C1,ATHLETIC CLUB,2
C1,LIBRARY,2
C1,HOSPITAL BUILDING/GROUNDS,2
C1,CLEANING STORE,2
C1,STAIRWELL,1
C1,WAREHOUSE,1
C1,CHA HALLWAY/STAIRWELL/ELEVATOR,1
C1,FACTORY/MANUFACTURING BUILDING,1
C1,VEHICLE - OTHER RIDE SERVICE,1
C1,COIN OPERATED MACHINE,1
C1,CTA TRACKS - RIGHT OF WAY,1
C10,RESIDENCE,252
C10,STREET,121
C10,"SCHOOL, PUBLIC, BUILDING",39
C10,OTHER,25
C10,RESIDENTIAL YARD (FRONT/BACK),24
C10,APARTMENT,24
C10,"SCHOOL, PUBLIC, GROUNDS",23
C10,PARKING LOT/GARAGE(NON.RESID.),18
C10,RESIDENCE PORCH/HALLWAY,15
C10,RESIDENCE-GARAGE,15
C10,HOSPITAL BUILDING/GROUNDS,14
C10,DRIVEWAY - RESIDENTIAL,14
C10,PARK PROPERTY,13
C10,COMMERCIAL / BUSINESS OFFICE,12
C10,SIDEWALK,12
C10,GAS STATION,10
C10,RESTAURANT,9
C10,DRUG STORE,9
C10,GROCERY FOOD STORE,9
C10,VEHICLE NON-COMMERCIAL,9
C10,ALLEY,7
C10,SMALL RETAIL STORE,7
C10,BANK,6
C10,CTA TRAIN,6
C10,CTA STATION,5
C10,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,4
C10,HOTEL/MOTEL,4
C10,NURSING HOME/RETIREMENT HOME,3
C10,"SCHOOL, PRIVATE, GROUNDS",3
C10,FOREST PRESERVE,2
C10,FACTORY/MANUFACTURING BUILDING,2
C10,WAREHOUSE,2
C10,DEPARTMENT STORE,2
C10,ATM (AUTOMATIC TELLER MACHINE),2
C10,CONVENIENCE STORE,2
C10,SPORTS ARENA/STADIUM,2
C10,CAR WASH,1
C10,VACANT LOT/LAND,1
C10,CTA BUS STOP,1
C10,HOUSE,1
C10,CTA PLATFORM,1
C10,ATHLETIC CLUB,1
C10,LIBRARY,1
C10,CTA BUS,1
C10,CONSTRUCTION SITE,1
C10,"SCHOOL, PRIVATE, BUILDING",1
C10,BAR OR TAVERN,1
C10,VEHICLE-COMMERCIAL,1
C10,MEDICAL/DENTAL OFFICE,1
C11,RESIDENCE,233
C11,STREET,161
C11,APARTMENT,52
C11,OTHER,28
C11,RESIDENTIAL YARD (FRONT/BACK),23
C11,GROCERY FOOD STORE,22
C11,RESIDENCE-GARAGE,22
C11,RESIDENCE PORCH/HALLWAY,18
C11,SIDEWALK,17
C11,PARKING LOT/GARAGE(NON.RESID.),17
C11,CTA STATION,15
C11,BANK,14
C11,ALLEY,11
C11,SMALL RETAIL STORE,10
C11,VEHICLE NON-COMMERCIAL,9
C11,POLICE FACILITY/VEH PARKING LOT,8
C11,CTA BUS,5
C11,CONVENIENCE STORE,5
C11,COMMERCIAL / BUSINESS OFFICE,5
C11,CTA TRAIN,4
C11,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,3
C11,PARK PROPERTY,3
C11,RESTAURANT,3
C11,"SCHOOL, PUBLIC, GROUNDS",3
C11,DRUG STORE,3
C11,OTHER RAILROAD PROP / TRAIN DEPOT,3
C11,ATM (AUTOMATIC TELLER MACHINE),2
C11,POOL ROOM,2
C11,"SCHOOL, PRIVATE, BUILDING",2
C11,MEDICAL/DENTAL OFFICE,2
C11,GAS STATION,2
C11,"SCHOOL, PUBLIC, BUILDING",2
C11,CTA PLATFORM,2
C11,DRIVEWAY - RESIDENTIAL,1
C11,CLEANING STORE,1
C11,DAY CARE CENTER,1
C11,CURRENCY EXCHANGE,1
C11,CTA TRACKS - RIGHT OF WAY,1
C11,WAREHOUSE,1
C11,BARBERSHOP,1
C11,GOVERNMENT BUILDING/PROPERTY,1
C11,CTA GARAGE / OTHER PROPERTY,1
C11,CAR WASH,1
C11,NURSING HOME/RETIREMENT HOME,1
C11,BRIDGE,1
C11,CTA BUS STOP,1
C11,BOWLING ALLEY,1
C11,"SCHOOL, PRIVATE, GROUNDS",1
C12,RESIDENCE,122
C12,STREET,86
C12,OTHER,17
C12,RESIDENCE-GARAGE,16
C12,GROCERY FOOD STORE,15
C12,APARTMENT,11
C12,RESIDENTIAL YARD (FRONT/BACK),11
C12,SIDEWALK,9
C12,RESIDENCE PORCH/HALLWAY,8
C12,PARKING LOT/GARAGE(NON.RESID.),8
C12,VEHICLE NON-COMMERCIAL,6
C12,COMMERCIAL / BUSINESS OFFICE,4
C12,DRIVEWAY - RESIDENTIAL,4
C12,RESTAURANT,3
C12,ALLEY,3
C12,CAR WASH,2
C12,"SCHOOL, PUBLIC, BUILDING",2
C12,FOREST PRESERVE,2
C12,BANK,2
C12,GAS STATION,2
C12,SMALL RETAIL STORE,2
C12,WAREHOUSE,2
C12,CTA BUS,2
C12,BAR OR TAVERN,1
C12,VACANT LOT/LAND,1
C12,MEDICAL/DENTAL OFFICE,1
C12,VEHICLE - OTHER RIDE SERVICE,1
C12,CURRENCY EXCHANGE,1
C12,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C12,OTHER RAILROAD PROP / TRAIN DEPOT,1
C12,FIRE STATION,1
C12,ATM (AUTOMATIC TELLER MACHINE),1
C12,"SCHOOL, PRIVATE, BUILDING",1
C12,PARK PROPERTY,1
C13,STREET,154
C13,RESIDENCE,106
C13,APARTMENT,60
C13,OTHER,43
C13,PARKING LOT/GARAGE(NON.RESID.),34
C13,"SCHOOL, PUBLIC, BUILDING",33
C13,GROCERY FOOD STORE,24
C13,SIDEWALK,22
C13,RESTAURANT,18
C13,RESIDENCE PORCH/HALLWAY,17
C13,ALLEY,16
C13,RESIDENCE-GARAGE,15
C13,COMMERCIAL / BUSINESS OFFICE,13
C13,SMALL RETAIL STORE,13
C13,DEPARTMENT STORE,13
C13,PARK PROPERTY,9
C13,HOTEL/MOTEL,9
C13,VEHICLE NON-COMMERCIAL,9
C13,"SCHOOL, PUBLIC, GROUNDS",7
C13,DRIVEWAY - RESIDENTIAL,6
C13,CTA GARAGE / OTHER PROPERTY,6
C13,BANK,5
C13,RESIDENTIAL YARD (FRONT/BACK),5
C13,CEMETARY,5
C13,VEHICLE-COMMERCIAL,5
C13,"SCHOOL, PRIVATE, BUILDING",3
C13,COLLEGE/UNIVERSITY GROUNDS,3
C13,GAS STATION,3
C13,LIBRARY,2
C13,WAREHOUSE,2
C13,ATM (AUTOMATIC TELLER MACHINE),2
C13,CONVENIENCE STORE,2
C13,GOVERNMENT BUILDING/PROPERTY,2
C13,BRIDGE,2
C13,SPORTS ARENA/STADIUM,2
C13,NURSING HOME/RETIREMENT HOME,2
C13,FACTORY/MANUFACTURING BUILDING,1
C13,FEDERAL BUILDING,1
C13,ATHLETIC CLUB,1
C13,MEDICAL/DENTAL OFFICE,1
C13,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C13,DAY CARE CENTER,1
C13,CTA BUS,1
C13,APPLIANCE STORE,1
C13,OTHER COMMERCIAL TRANSPORTATION,1
C13,"VEHICLE - OTHER RIDE SHARE SERVICE (E.G., UBER, LYFT)",1
C14,STREET,379
C14,RESIDENCE,239
C14,APARTMENT,236
C14,SIDEWALK,102
C14,OTHER,88
C14,"SCHOOL, PUBLIC, BUILDING",52
C14,RESIDENCE PORCH/HALLWAY,51
C14,VEHICLE NON-COMMERCIAL,45
C14,RESIDENCE-GARAGE,44
C14,PARKING LOT/GARAGE(NON.RESID.),43
C14,ALLEY,42
C14,SMALL RETAIL STORE,38
C14,NURSING HOME/RETIREMENT HOME,35
C14,RESTAURANT,33
C14,RESIDENTIAL YARD (FRONT/BACK),27
C14,GROCERY FOOD STORE,22
C14,"SCHOOL, PUBLIC, GROUNDS",19
C14,PARK PROPERTY,17
C14,CTA TRAIN,13
C14,CONVENIENCE STORE,11
C14,BANK,7
C14,DEPARTMENT STORE,6
C14,COMMERCIAL / BUSINESS OFFICE,6
C14,GAS STATION,5
C14,ATHLETIC CLUB,5
C14,ATM (AUTOMATIC TELLER MACHINE),5
C14,CTA BUS,4
C14,VEHICLE-COMMERCIAL,4
C14,CTA BUS STOP,4
C14,CURRENCY EXCHANGE,4
C14,"SCHOOL, PRIVATE, BUILDING",3
C14,BARBERSHOP,3
C14,CTA STATION,3
C14,CAR WASH,3
C14,"SCHOOL, PRIVATE, GROUNDS",3
C14,TAVERN/LIQUOR STORE,2
C14,WAREHOUSE,2
C14,POLICE FACILITY/VEH PARKING LOT,2
C14,CONSTRUCTION SITE,2
