Community,LocationNight,FrequencyNight
C1,STREET,269
C1,APARTMENT,249
C1,RESIDENCE,119
C1,SIDEWALK,86
C1,CTA TRAIN,65
C1,OTHER,47
C1,ALLEY,42
C1,BAR OR TAVERN,33
C1,RESIDENCE PORCH/HALLWAY,30
C1,PARKING LOT/GARAGE(NON.RESID.),30
C1,RESIDENTIAL YARD (FRONT/BACK),22
C1,VEHICLE NON-COMMERCIAL,16
C1,RESIDENCE-GARAGE,16
C1,SMALL RETAIL STORE,15
C1,RESTAURANT,13
C1,CTA GARAGE / OTHER PROPERTY,12
C1,GROCERY FOOD STORE,12
C1,NURSING HOME/RETIREMENT HOME,11
C1,CTA STATION,11
C1,CTA PLATFORM,9
C1,PARK PROPERTY,8
C1,GAS STATION,7
C1,TAXICAB,6
C1,TAVERN/LIQUOR STORE,5
C1,CONVENIENCE STORE,5
C1,ATM (AUTOMATIC TELLER MACHINE),5
C1,CTA BUS STOP,4
C1,COLLEGE/UNIVERSITY GROUNDS,3
C1,VEHICLE-COMMERCIAL,3
C1,DRUG STORE,3
C1,HOTEL/MOTEL,2
C1,"SCHOOL, PRIVATE, BUILDING",2
C1,COMMERCIAL / BUSINESS OFFICE,2
C1,VEHICLE - OTHER RIDE SERVICE,2
C1,STAIRWELL,1
C1,CTA BUS,1
C1,POLICE FACILITY/VEH PARKING LOT,1
C1,VACANT LOT/LAND,1
C1,SPORTS ARENA/STADIUM,1
C1,CAR WASH,1
C1,ATHLETIC CLUB,1
C1,OTHER RAILROAD PROP / TRAIN DEPOT,1
C1,"SCHOOL, PRIVATE, GROUNDS",1
C1,BANK,1
C1,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,1
C1,CTA TRACKS - RIGHT OF WAY,1
C10,STREET,87
C10,RESIDENCE,74
C10,APARTMENT,19
C10,RESIDENCE-GARAGE,12
C10,RESIDENTIAL YARD (FRONT/BACK),12
C10,OTHER,12
C10,SIDEWALK,12
C10,RESTAURANT,11
