Community,Crime,Frequency,Period
C35,INTIMIDATION,3,Day
C51,INTERFERENCE WITH PUBLIC OFFICER,6,Day
C11,CRIM SEXUAL ASSAULT,4,Day
C4,CRIMINAL DAMAGE,112,Day
C68,PROSTITUTION,11,Day
C1,PROSTITUTION,2,Day
C8,PUBLIC PEACE VIOLATION,42,Day
C6,CONCEALED CARRY LICENSE VIOLATION,1,Day
C3,OTHER OFFENSE,160,Day
C3,INTIMIDATION,2,Day
C10,HOMICIDE,1,Day
C27,THEFT,407,Day
C16,KIDNAPPING,2,Day
C38,GAMBLING,1,Day
C46,NARCOTICS,133,Day
C53,MOTOR VEHICLE THEFT,82,Day
C47,OFFENSE INVOLVING CHILDREN,1,Day
C33,STALKING,2,Day
C16,ROBBERY,51,Day
C50,BATTERY,130,Day
C76,KIDNAPPING,2,Day
C57,DECEPTIVE PRACTICE,59,Day
C19,HOMICIDE,6,Day
C76,ROBBERY,1,Day
C11,INTERFERENCE WITH PUBLIC OFFICER,3,Day
C75,INTIMIDATION,1,Day
C26,ASSAULT,296,Day
C51,CRIM SEXUAL ASSAULT,3,Day
C75,CRIMINAL TRESPASS,40,Day
C16,CRIMINAL DAMAGE,241,Day
C17,BURGLARY,91,Day
C46,PUBLIC PEACE VIOLATION,24,Day
C7,BATTERY,208,Day
C15,INTIMIDATION,5,Day
C10,ARSON,1,Day
C42,KIDNAPPING,4,Day
C22,WEAPONS VIOLATION,21,Day
C4,SEX OFFENSE,5,Day
C76,WEAPONS VIOLATION,5,Day
C47,THEFT,23,Day
C59,ARSON,1,Day
C26,NARCOTICS,826,Day
C33,MOTOR VEHICLE THEFT,59,Day
C53,STALKING,2,Day
C35,CRIMINAL TRESPASS,94,Day
C37,DECEPTIVE PRACTICE,34,Day
C53,LIQUOR LAW VIOLATION,1,Day
C56,CRIMINAL DAMAGE,144,Day
C59,BATTERY,82,Day
C41,OTHER OFFENSE,89,Day
C19,BATTERY,510,Day
C41,INTIMIDATION,1,Day
C55,INTIMIDATION,2,Day
C31,INTERFERENCE WITH PUBLIC OFFICER,4,Day
C31,CRIM SEXUAL ASSAULT,8,Day
C3,CRIMINAL TRESPASS,95,Day
C8,ASSAULT,341,Day
C30,HOMICIDE,4,Day
C62,WEAPONS VIOLATION,3,Day
C70,HOMICIDE,6,Day
C22,KIDNAPPING,2,Day
C30,ARSON,7,Day
C59,HOMICIDE,4,Day
C19,ARSON,6,Day
C66,ASSAULT,364,Day
C30,BATTERY,564,Day
C13,LIQUOR LAW VIOLATION,1,Day
C42,SEX OFFENSE,8,Day
C4,WEAPONS VIOLATION,5,Day
C21,CRIMINAL TRESPASS,23,Day
C56,ROBBERY,33,Day
C1,MOTOR VEHICLE THEFT,74,Day
C4,KIDNAPPING,2,Day
C73,LIQUOR LAW VIOLATION,1,Day
C8,NARCOTICS,78,Day
C71,INTERFERENCE WITH PUBLIC OFFICER,26,Day
C62,BURGLARY,77,Day
C15,CRIMINAL TRESPASS,55,Day
