value.Community,value.Location,value.Frequency,value.Period
C1,STREET,269,Night
C1,APARTMENT,249,Night
C1,RESIDENCE,119,Night
C2,STREET,364,Night
C2,APARTMENT,185,Night
C2,RESIDENCE,117,Night
C3,APARTMENT,182,Night
C3,STREET,182,Night
C3,RESIDENCE,104,Night
C4,STREET,161,Night
C4,APARTMENT,65,Night
C4,RESIDENCE,53,Night
C5,STREET,96,Night
C5,RESIDENCE,59,Night
C5,RESIDENCE-GARAGE,27,Night
C6,STREET,395,Night
C6,SIDEWALK,260,Night
C6,BAR OR TAVERN,241,Night
C7,STREET,305,Night
C7,APARTMENT,101,Night
C7,RESIDENCE,94,Night
C8,STREET,702,Night
C8,BAR OR TAVERN,497,Night
C8,SIDEWALK,425,Night
C9,RESIDENCE,19,Night
C9,STREET,19,Night
C9,SIDEWALK,11,Night
C10,STREET,87,Night
C10,RESIDENCE,74,Night
C10,APARTMENT,19,Night
C11,STREET,91,Night
C11,RESIDENCE,52,Night
C11,APARTMENT,20,Night
C12,STREET,66,Night
C12,RESIDENCE,33,Night
C12,APARTMENT,10,Night
C13,STREET,106,Night
C13,APARTMENT,30,Night
C13,SIDEWALK,15,Night
C14,STREET,255,Night
C14,APARTMENT,105,Night
C14,RESIDENCE,79,Night
C15,STREET,312,Night
C15,RESIDENCE,213,Night
C15,APARTMENT,109,Night
C16,STREET,316,Night
C16,APARTMENT,125,Night
C16,RESIDENCE,108,Night
C17,RESIDENCE,135,Night
C17,STREET,123,Night
C17,APARTMENT,40,Night
C18,RESIDENCE,55,Night
C18,STREET,51,Night
C18,APARTMENT,26,Night
C19,STREET,460,Night
C19,RESIDENCE,244,Night
C19,APARTMENT,148,Night
C20,STREET,146,Night
C20,RESIDENCE,73,Night
C20,APARTMENT,70,Night
C21,STREET,239,Night
C21,APARTMENT,117,Night
C21,RESIDENCE,93,Night
C22,STREET,518,Night
C22,APARTMENT,179,Night
C22,RESIDENCE,173,Night
C23,STREET,710,Night
C23,APARTMENT,327,Night
C23,RESIDENCE,308,Night
C24,STREET,924,Night
C24,APARTMENT,240,Night
C24,SIDEWALK,240,Night
C25,STREET,1419,Night
C25,APARTMENT,783,Night
C25,RESIDENCE,665,Night
C26,STREET,457,Night
C26,APARTMENT,258,Night
C26,SIDEWALK,226,Night
C27,STREET,392,Night
C27,APARTMENT,280,Night
C27,RESIDENCE,152,Night
C28,STREET,711,Night
C28,APARTMENT,221,Night
C28,SIDEWALK,166,Night
C29,STREET,618,Night
C29,APARTMENT,510,Night
C29,RESIDENCE,359,Night
C30,STREET,459,Night
C30,APARTMENT,224,Night
C30,RESIDENCE,186,Night
C31,STREET,231,Night
C31,APARTMENT,123,Night
C31,RESIDENCE,103,Night
C32,STREET,246,Night
C32,SIDEWALK,145,Night
C32,RESTAURANT,138,Night
C33,STREET,116,Night
C33,RESIDENCE,57,Night
C33,APARTMENT,51,Night
C34,STREET,80,Night
C34,RESIDENCE,30,Night
C34,SIDEWALK,29,Night
C35,STREET,140,Night
C35,APARTMENT,120,Night
C35,RESIDENCE,68,Night
