Community,Period,Cluster
C1,Day,3
C10,Day,4
C11,Day,4
C12,Day,4
C13,Day,4
C14,Day,0
C15,Day,0
C16,Day,0
C17,Day,4
C18,Day,4
C19,Day,6
C2,Day,3
C20,Day,4
C21,Day,0
C22,Day,3
C23,Day,8
C24,Day,7
C25,Day,5
C26,Day,6
C27,Day,6
C28,Day,7
C29,Day,8
C3,Day,3
C30,Day,6
C31,Day,0
C32,Day,2
C33,Day,4
C34,Day,4
C35,Day,0
C36,Day,4
C37,Day,4
C38,Day,3
C39,Day,4
C4,Day,4
C40,Day,3
C41,Day,4
C42,Day,3
C43,Day,1
C44,Day,6
C45,Day,4
C46,Day,6
C47,Day,4
C48,Day,4
C49,Day,9
C5,Day,4
C50,Day,4
C51,Day,4
C52,Day,4
C53,Day,6
C54,Day,4
C55,Day,4
C56,Day,4
C57,Day,4
C58,Day,0
C59,Day,4
C6,Day,3
C60,Day,4
C61,Day,6
C62,Day,4
C63,Day,0
C64,Day,4
C65,Day,4
C66,Day,6
C67,Day,9
C68,Day,6
C69,Day,6
C7,Day,3
C70,Day,0
C71,Day,9
C72,Day,4
C73,Day,0
C74,Day,4
C75,Day,0
C76,Day,4
C77,Day,0
C8,Day,2
C9,Day,4
C1,Night,3
C10,Night,0
C11,Night,0
C12,Night,0
C13,Night,0
C14,Night,3
C15,Night,3
C16,Night,3
C17,Night,6
C18,Night,0
C19,Night,1
C2,Night,3
C20,Night,6
C21,Night,3
C22,Night,1
C23,Night,2
C24,Night,7
C25,Night,4
C26,Night,1
C27,Night,1
C28,Night,7
C29,Night,2
C3,Night,3
C30,Night,1
C31,Night,3
C32,Night,3
C33,Night,0
C34,Night,0
C35,Night,6
C36,Night,0
C37,Night,0
C38,Night,3
C39,Night,6
C4,Night,6
C40,Night,3
C41,Night,0
C42,Night,3
C43,Night,8
C44,Night,9
C45,Night,6
C46,Night,9
C47,Night,0
C48,Night,6
C49,Night,9
C5,Night,0
C50,Night,0
C51,Night,6
C52,Night,6
C53,Night,9
C54,Night,0
C55,Night,0
C56,Night,6
C57,Night,0
C58,Night,3
C59,Night,6
C6,Night,1
C60,Night,6
C61,Night,1
C62,Night,0
C63,Night,6
C64,Night,0
C65,Night,6
C66,Night,9
C67,Night,9
C68,Night,9
C69,Night,2
C7,Night,3
C70,Night,6
C71,Night,2
C72,Night,0
C73,Night,6
C74,Night,0
C75,Night,6
C76,Night,0
C77,Night,3
C8,Night,5
C9,Night,0
